KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
dialogue_OmHi4,"So, how do we start?","Also, womit starten wir?","Alors, par où commencer?",,,,,,"Итак, с чего начать?",,,,,,,,"Vì vậy, làm thế nào để chúng ta bắt đầu?"
dialogue_CSKaC,"Find the asteroid field in the solar system with the prison. The system is marked on your map with '<color=#fbff00>High Security</color>'. Find the spot where the Zirax and Kriel territory nearly touch. A few clicks behind the Zirax border, there should be the system. Find and warp to the local <color=#fbff00>asteroid field</color>. Go there and wait for my orders.","Finde das Asteroidenfeld im Sonnensystem mit dem Gefängnis. Das System ist auf deiner Karte mit '<color=#fbff00>Hochsicherheit</color>' markiert. Finde die Stelle, an der sich das Zirax- und das Kriel-Gebiet fast berühren. Ein paar Klicks hinter der Zirax-Grenze sollte sich das System befinden. Finde das lokale <color=#fbff00>Asteroidenfeld</color> und springe hinein. Wenn du dort bist, warte auf meine Anweisungen.","Trouvez le champ d'astéroïdes dans le système solaire «<color=#fbff00>High Security</color>». C'est là que se trouve la prison. Ce système est situé à l'endroit où les territoires Zirax et GLaD se touchent presque. A quelque distance derrière la frontière Zirax, il devrait y avoir la prison. Cherchez le <color#fbff00>champ d'astéroïdes</color> et allez-y, puis attendez mes instructions.",,,,,,"Найдите астероидное поле в Солнечной системе с тюрьмой. Система отмечена на вашей карте знаком «<color=#fbff00>Высокая безопасность</color>». Найдите место, где почти соприкасаются территории Зиракса и Крил. Несколько прыжков за границей Зиракс, должна быть система. Найдите и перейдите к местному <color=#fbff00>полю астероидов</color>. Идите туда и ждите моих приказов.",,,,,,,,"Tìm trường tiểu hành tinh trong hệ mặt trời với nhà tù. Hệ thống được đánh dấu trên bản đồ của bạn bằng '<color=#fbff00> Bảo mật cao </color>'. Tìm vị trí mà lãnh thổ Zirax và Kriel gần chạm nhau. Một vài cú nhấp chuột đằng sau biên giới Zirax, sẽ tìm thấy hệ sao. Tìm và di chuyển đến <color=#fbff00>trường tiểu hành tinh </color>địa phương . Đến đó và đợi lệnh của tôi."
dialogue_C4mWa,I better stock up my ammo first...,Ich fülle besser erst meine Munition auf...,Je ferais mieux de faire le stock de munitions d'abord....,,,,,,Мне лучше сначала запастись патронами...,,,,,,,,Tốt hơn hết tôi nên dự trữ đạn của mình trước ...
dialogue_iquae,Alex,Alex,Alex,,,,,,Алекс,,,,,,,,Alex
dialogue_KWmK4,You are.. here! This isn't an illusion .. oh my god .. I did not even dare to..,Du bist... hier! Das ist keine Illusion. Oh mein Gott. Ich habe nicht mal gewagt...,Tu es là! Je ne rêve pas... oh mon dieu... je n'ai même pas osé...,,,,,,Вы .. здесь! Это не иллюзия .. боже мой .. я даже не осмелился..,,,,,,,,Bạn đang ở đây! Đây không phải là ảo ảnh .. trời ơi .. tôi thậm chí còn không dám ..
dialogue_8WCO4,Alex! Yes I am here! What the hell happened..,"Alex! Ja, ich bin hier! Was zum Teufel ist passiert...",Alex! Oui je suis là! Qu'est-ce qui s'est passé ...,,,,,,"Алекс! Да, я здесь! Что, черт возьми, случилось..",,,,,,,,Alex! Có tôi ở đây! Chuyện quái gì đã xảy ra ..
dialogue_WqCGm,Our mission was compromised. It was a trap. We warped in the system and the Ghyst had a whole battlegroup to welcome us.,"Unsere Mission war kompromittiert. Es war eine Falle. Wir sind in das System gesprungen und die Ghyst hatten eine ganze Kampfgruppe bereit, um uns zu empfangen.",Notre mission a été compromise. C'était un piège. Nous sommes sorti de l'hyperespace et sommes tombés sur les Gh'yst qui avaient tout un groupe d'intervention tactique pour nous accueillir.,,,,,,"Наша миссия была скомпрометирована. Это была ловушка. Мы прыгнули в систему, и у Ghyst была целая боевая группа, чтобы приветствовать нас.",,,,,,,,Nhiệm vụ của chúng tôi đã bị tổn hại. Đó là một cái bẫy. Chúng tôi đã thay đổi hệ thống và Ghyst có cả một nhóm chiến đấu để chào đón chúng tôi.
dialogue_iiGOG,Mercer!,Mercer!,Mercer!,,,,,,Мерсер!,,,,,,,,Mercer!
dialogue_OiqWG,"No, Mercer is most likely dead. And his son .. no way. He did not even know what we were up to. It is someone else. Either working with or even from inside the UCH. Someone who seems to have gained a lot of influence in the last months. We had some company yesterday. They sedated us, but I heard they were speaking about us. And one of them was a terran. Without doubt. We will find that traitor. I now know his voice!","Nein, Mercer ist höchstwahrscheinlich tot. Und sein Sohn ... auf keinen Fall. Er wusste nicht mal, was wir vorhatten. Es ist jemand anderes. Entweder arbeitet er mit der UCH zusammen oder er kommt sogar aus ihr. Jemand, der in den letzten Monaten sehr viel Einfluss gewonnen zu haben scheint. Wir hatten gestern etwas Gesellschaft. Sie haben uns sediert, aber ich habe gehört, dass sie über uns gesprochen haben. Und einer von ihnen war ein Terraner. Ohne Zweifel. Wir werden diesen Verräter finden. Ich kenne jetzt seine Stimme!","Non, Mercer est probablement mort. Et son fils... pas possible. Il ne savait même pas ce que nous faisions. C'est quelqu'un d'autre. Quelqu'un travaillant avec ou même depuis l'intérieur de l'UCH. Quelqu'un qui semble avoir acquis beaucoup d'influence au cours des derniers mois. Comme nous avons eu de la compagnie hier, ils nous ont endormis. Mais j'ai eu le temps de les entendre parler de nous. Et l'un d'eux était un terrien. Sans aucun doute! Nous trouverons ce traître. Je connais maintenant sa voix!",,,,,,"Нет, Мерсер, скорее всего, мертв. И его сын .. тоже. Он даже не знал, чем мы занимаемся. Это кто-то другой. Либо работает с UCH, либо даже изнутри. Кого-то, кто, кажется, приобрел большое влияние за последние месяцы. Вчера у нас была какая-то компания. Они успокоили нас, но я слышал, что они говорили о нас. И один из них был терраном. Без сомнения. Мы найдем этого предателя. Теперь я знаю его голос!",,,,,,,,"Không, rất có thể Mercer đã chết. Và con trai của ông ấy .. không thể nào. Anh ấy thậm chí còn không biết chúng tôi định làm gì. Đó là một người khác. Làm việc với hoặc thậm chí từ bên trong UCH. Một người dường như đã tạo được nhiều ảnh hưởng trong những tháng vừa qua. Chúng tôi đã có một số công ty ngày hôm qua. Họ dụ dỗ chúng tôi, nhưng tôi nghe thấy họ đang nói về chúng tôi. Và một trong số chúng là một con terran. Không nghi ngờ gì nữa. Chúng tôi sẽ tìm ra kẻ phản bội đó. Bây giờ tôi biết giọng nói của mình!"
dialogue_eGGKU,"Ok, so first of all, we need to get you and Jennifer out of here.","Ok, als Erstes müssen wir dich und Jennifer hier rausbringen.","Ok, donc tout d'abord, nous devons vous sortir d'ici, toi et Jennifer.",,,,,,"Хорошо, в первую очередь нам нужно вывести отсюда тебя и Дженнифер.",,,,,,,,"Được rồi, trước hết, chúng tôi cần đưa bạn và Jennifer ra khỏi đây."
dialogue_aKeOc,Wait! We cannot go alone. You will never believe who came in last week. A Talon! But not one of those tribal guys you have possibly met. This one is wearing a tech suit and looks different. We need to free him as well! They brought him into the security cell over there! His name is Tharkan.,"Warte! Wir können nicht alleine gehen. Ihr werdet nicht glauben, wer letzte Woche hier war. Ein Talon! Aber nicht einer dieser Stammestypen, die du vielleicht kennst. Dieser hier trägt einen technischen Anzug und sieht anders aus. Wir müssen auch ihn befreien! Sie brachten ihn in die Sicherheitszelle dort drüben! Sein Name ist Tharkan.",Attends! Il ya autre chose. Tu ne croiras jamais qui est venu la semaine dernière. Un Talon! Mais pas un gars des tribus que vous avez peut-être rencontrés. Celui-ci portait une combinaison high-tech et avait l'air différent. Nous devons aussi le libérer! Il est dans dans la cellule de sécurité là-bas! Son nom est Tharkan.,,,,,,"Подожди! Мы не можем идти в одиночку. Ты никогда не поверишь, кого привели на прошлой неделе. Талон! Но не один из тех парней из племени, которых ты, возможно, встречал. Этот одет в технический костюм и выглядит иначе. Нам тоже нужно освободить его! Они привели его в камеру безопасности вон там! Его зовут Tharkan.",,,,,,,,Đợi đã! Chúng ta không thể đi một mình. Bạn sẽ không bao giờ tin được ai đã vào tuần trước. Một Talon! Nhưng không phải một trong những anh chàng bộ lạc mà bạn có thể đã gặp. Người này mặc một bộ đồ công nghệ và trông khác. Chúng ta cũng cần phải giải thoát cho anh ta! Họ đưa anh ta vào phòng giam an ninh ở đằng kia! Tên anh ấy là Tharkan.
dialogue_8iCmK,"Ok, I will see what I can do. I'll be right back.","Ok, ich werde sehen, was ich tun kann. Ich bin gleich wieder da.","Ok, je vais voir ce que je peux faire. Je reviens tout de suite.",,,,,,"Хорошо, я посмотрю, что смогу сделать. Я скоро вернусь.",,,,,,,,"Ok, tôi sẽ xem những gì tôi có thể làm. Tôi sẽ trở lại ngay."
dialogue_08Oea,Tharkan,Tharkan,Tharkan,Tharkan,,,,,Tharkan,,,,,,,,Tharkan
dialogue_OXOSa,"Hello Friend, you seem to be a trustable person coming here to rescue us. This is your wife over in that cell?","Hallo Freund, du scheinst eine vertrauenswürdige Person zu sein, die hierher kommt, um uns zu retten. Ist das deine Frau da drüben in der Zelle?","Bonjour ami, vous semblez être une personne de confiance, venu ici pour nous sauver. C'est votre femme dans cette cellule?",,,,,,"Привет, друг, ты, кажется, надежный человек, пришедший сюда, чтобы спасти нас. Это твоя жена в камере?",,,,,,,,"Xin chào Bạn, bạn có vẻ là một người đáng tin cậy khi đến đây để giải cứu chúng tôi. Đây là vợ của bạn trong phòng giam đó?"
dialogue_YG40W,"You have good ears, my friend.","Du hast gute Ohren, mein Freund.","Vous avez de bonnes oreilles, mon ami.",,,,,,"У тебя хорошие уши, мой друг.",,,,,,,,"Bạn có một đôi tai tốt, bạn của tôi."
dialogue_4KiCG,"Oh, thanks a lot. I am trying my best.","Oh, vielen Dank. Ich versuche mein Bestes.",Oh merci beaucoup. J'essaye de faire de mon mieux.,Grazie mille! Provo a fare del mio meglio.,,,,,"О, большое спасибо. Я стараюсь изо всех сил.",,,,,,,,Oh cảm ơn rất nhiều. Tôi đang cố gắng hết sức.
dialogue_Ouuue,Before the Ghyst are finding out what we do here .. may I ask a question?,"Bevor die Ghyst herausfinden, was wir hier machen ... darf ich eine Frage stellen?",Avant que les Gh'yst ne découvrent ce que nous faisons ici... puis-je vous poser une question?,,,,,,"Прежде чем Ghyst узнают, что мы здесь делаем .. могу я задать вопрос?",,,,,,,,Trước khi các Ghyst đang tìm hiểu xem chúng tôi làm gì ở đây .. tôi có thể hỏi một câu được không?
dialogue_u4iWK,"Sure, my friend.","Sicher, mein Freund.",Bien sûr mon ami.,,,,,,"Конечно, мой друг.",,,,,,,,Chắc chắn rồi bạn của tôi ơi.
dialogue_8YWqK,The suit you are wearing indicates you are not from this part of the galaxy .. or a Talon?,"Der Anzug, den du trägst, deutet darauf hin, du bist nicht aus diesem Teil der Galaxis ... oder ein Talon?",La combinaison que vous portez indique que vous n'êtes pas de cette partie de la galaxie... ni un Talon?,"La tuta che indossi indica che non sei di queste parti della galassia, o un Talon..",,,,,"Костюм, который вы носите, указывает на то, что вы не из этой части галактики .. или Талон?",,,,,,,,Bộ đồ bạn đang mặc cho thấy bạn không đến từ phần này của thiên hà .. hay một Talon?
dialogue_aaSSi,"I see you are not new to some of the secrets of this galaxy. So, for now, I am actually a Talon. And I think saying that, you have already drawn an interesting conclusion of where I am coming from. I hope you will consider taking me with you so we can share some information. It might be .. important for the survival of the galaxy. Mine and yours.","Wie ich sehe, sind dir einige der Geheimnisse dieser Galaxie nicht neu. Also, fürs Erste, ich bin tatsächlich ein Talon. Und ich denke, wenn ich das sage, hast du schon eine interessante Schlussfolgerung gezogen, woher ich komme. Ich hoffe, ihr nehmt mich mit, damit wir Informationen austauschen können. Es könnte für das Überleben der Galaxie wichtig sein... Für meine und eure.","Je vois que vous êtes au courant de certains des secrets entourant cette galaxie. Donc, pour l'instant, je suis actuellement un Talon. Et je pense qu'en disant cela, vous avez déjà tiré une conclusion intéressante sur mon origine. J'espère que vous envisagerez de m'emmener avec vous afin que nous puissions partager quelques informations. Cela pourrait être… important pour la survie de la galaxie. Pour moi et pour vous.",,,,,,"Я вижу, вы не новичок в некоторых секретах этой галактики. Итак, на данный момент я на самом деле Талон. И я думаю, сказав это, вы уже сделали интересный вывод о моем происхождении. Я надеюсь, вы подумаете о том, чтобы взять меня с собой, чтобы мы могли поделиться некоторой информацией. Это может быть .. важно для выживания галактики. Моей и твоей.",,,,,,,,"Tôi thấy bạn không xa lạ với một số bí mật của thiên hà này. Vì vậy, hiện tại, tôi thực sự là một Talon. Và tôi nghĩ rằng nói vậy, bạn đã rút ra một kết luận thú vị về nơi tôi đến. Tôi hy vọng bạn sẽ cân nhắc đưa tôi đi cùng để chúng ta có thể chia sẻ một số thông tin. Nó có thể là .. quan trọng đối với sự tồn tại của thiên hà. Của tôi và của bạn."
dialogue_qKuWG,Sounds familiar.  Wait for the signal. We'll start soon.,Klingt vertraut.  Warte auf das Signal. Wir fangen bald an.,J'ai déjà entendu ça! Attendez le signal... Ça va bientôt commencer.,,,,,,Звучит знакомо. Ждите сигнала. Скоро начнем.,,,,,,,,Âm thanh quen thuộc. Chờ tín hiệu. Chúng tôi sẽ bắt đầu sớm.
dialogue_S4CWi,Ambassador Hyzani,Botschafterin Hyzani,Ambassadeur Hyzani,Ambasciatore Hyzani,,,,,Посол Hyzani,,,Hyzani大使,,,,,Đại sứ Hyzani
dialogue_OuGea,Commander! I was already worried ..,Commander! Ich habe mir schon Sorgen gemacht ..,Commandant! J'étais très inquiete...,Comandante! Stavo iniziando a preoccuparmi.,,,,,Командир! Я уже волновался ..,,,指揮官！我剛剛還在擔心..,,,,,Chỉ huy! Tôi đã rất lo lắng ..
dialogue_eiuCO,"I need your help, your excellency.","Ich brauche deine Hilfe, Eure Exzellenz.","J'ai besoin de votre aide, votre excellence.","Mi serve il suo aiuto, vostra eccellenza.",,,,,"Мне нужна ваша помощь, ваше превосходительство.",,,我需要你的幫助，閣下。,,,,,"Tôi cần sự giúp đỡ của bạn, sự xuất sắc của bạn."
dialogue_S8OSW,Sure thing. What do you need me to do?,Sicher doch. Was soll ich tun?,Bien sûr. Que voulez-vous que je fasse?,Certo. Cosa vuoi che faccia?,,,,,Конечно. Что мне нужно делать?,,,當然.你希望我做什麼?,,,,,Điều chắc chắn. Bạn cần tôi phải làm gì?
dialogue_OOWCW,I am quite sure you already have a vessel close to the Prison.,"Ich bin mir ziemlich sicher, dass du bereits ein Schiff in der Nähe des Gefängnisses hast.",Vous devez sûrement avoir un vaisseau près de la prison.,,,,,,"Я совершенно уверен, что у вас уже есть судно недалеко от тюрьмы.",,,我很確定你有一艘飛船在監獄附近,,,,,Tôi khá chắc rằng bạn đã có một kim khí gần Nhà tù.
dialogue_8SuKe,I see you start to get to know how I work. Ha. Great.  Of course - the vessel is ready. Let me know where you need it and when.,"Ich sehe, du fängst an zu wissen, wie ich arbeite. Ha. Na toll.  Natürlich - das Schiff ist bereit. Lass mich wissen, wo du es brauchst und wann.","Je vois que vous commencez à comprendre comment je fonctionne. Bien. Oui, le vaisseau est prêt. Dites moi où et quand.",,,,,,"Я вижу, ты начинаешь узнавать, как я работаю. Ха. Отлично. Конечно - судно готово. Сообщите мне, где и когда вам оно нужно.",,,,,,,,Tôi thấy bạn bắt đầu biết cách làm việc của tôi. Ha. Tuyệt vời. Tất nhiên - tàu đã sẵn sàng. Hãy cho tôi biết bạn cần nó ở đâu và khi nào.
dialogue_84m88,Bring it to the side of the asteroid where the prison cells are.,"Bringe es auf die Seite des Asteroiden, wo die Gefängniszellen sind.","Amenez-le sur le côté de l'astéroïde, là où se trouvent les cellules de la prison.",,,,,,"Отведите его в сторону астероида, где находятся тюремные камеры.",,,,,,,,"Mang nó đến bên cạnh của tiểu hành tinh, nơi có các phòng giam."
dialogue_eO0Wm,The vessel is underway. What is the signal?,Das Schiff ist unterwegs. Was ist das Signal?,Le vaisseau est en cours. Quel est le signal?,,,,,,Судно на ходу. Какой сигнал?,,,,,,,,Con tàu đang được tiến hành. Tín hiệu là gì?
dialogue_iaCue,"I will overload a converter and make a nice hole, you need to seal immediately.","Ich werde einen Konverter überlasten und ein schönes Loch machen, das du sofort abdichten musst.","Je vais surcharger un convertisseur et faire un joli trou, que vous devrez sceller immédiatement.","Sovraccaricherò un convertitore per creare un bel buco, dovrai sigillarlo immediatamente.",,,,,"Я перегружу преобразователь и сделаю красивую дырку, это будет вам знак.",,,,,,,,"Tôi sẽ làm quá tải một bộ chuyển đổi và tạo ra một lỗ đẹp, bạn cần phải bịt kín ngay lập tức."
dialogue_ISuCq,No problem. Just one question. Is there also a Talon called Tharkan?,Kein Problem. Nur eine Frage. Gibt es da auch einen Talon namens Tharkan?,Aucun problème. Juste une question. Y a-t-il aussi un Talon appelé Tharkan?,Nessun problema. Solo una domanda. C'è anche un Talon chiamato Tharkan?,,,,,Без проблем. Только один вопрос. Есть ли еще Талон по имени Tharkan?,,,,,,,,Không vấn đề gì. Chỉ một câu hỏi. Có phải cũng có một Talon được gọi là Tharkan?
dialogue_SiOqO,Why am I not surprised? We will rescue all prisoners. Not only our people.,Warum bin ich nicht überrascht? Wir werden alle Gefangenen befreien. Nicht nur unsere Leute.,"Oui.. mais pourquoi je ne suis pas surpris.. Nous allons sauver tous les prisonniers, pas seulement notre peuple.",Perchè non sono sorpreso? Salveremo tutti i prigionieri. Non solo la nostra gente.,,,,,Почему я не удивлен? Мы спасем всех пленников. Не только наших людей.,,,,,,,,Tại sao tôi không ngạc nhiên? Chúng tôi sẽ giải cứu tất cả tù nhân. Không chỉ người dân của chúng tôi.
dialogue_S8qOC,"No, that's too far fetched.","Nein, das ist zu weit hergeholt.","Non, c'est un peu gros!","No, è troppo inverosimile.",,,,,"Нет, это слишком надумано.",,,,,,,,"Không, quá xa để đến."
dialogue_WmMqo,No really. Everything hurts .. I am not sure if..,"Nein, wirklich. Alles tut weh. Ich bin nicht sicher, ob...",Pas vraiment. J'ai mal partout... je ne sais pas si...,,,,,,"Нет, правда. Все болит .. Я не уверен, если ..",,,,,,,,Không thực sự. Mọi thứ đều đau .. Tôi không chắc liệu ..
dialogue_CSWGq,Galactic Information Network (GIN),Galaktisches Informations Netzwerk (GIN),Réseau d'information galactique (RIG),,,,,,Галактическая информационная сеть (ГИС),,,,,,,,Mạng thông tin thiên hà (GIN)
dialogue_SmiGK,Welcome {PlayerName}! You have been logged in to the..<i>@w2</i>\n<size=175%><color=#00ffff>G</color>alactic </size><i>@w1 </i><size=175%><color=#00ffff>I</color></size><size=175%>nformation </size><i>@w1 </i><size=175%><color=#00ffff>N</color></size><size=175%>etwork </size><i>@w2</i>\n<i>..where the latest news never grows old! @w2</i>\n\nPlease make a choice from the menu below,Willkommen {PlayerName}! Du hast dich in das... <i>@w2</i>\n<size=175%><color=#00ffff>G</color>alaktische </size><i>@w1 </i><size=175%><color=#00ffff>I</color></size><size=175%>nformations </size><i>@w1 </i><size=175%><color=#00ffff>N</color></size><size=175%>etzwerk </size><i>@w2</i>\n<i>eingewählt. .wo die neuesten Nachrichten nie alt werden! @w2</i>\n\nBitte treffe eine Auswahl aus dem untenstehenden Menü,Bienvenue {PlayerName}! Vous êtes connecté au.. <i>@w2</i> \n<size=175%><color=#00ffff>R</color>éseau d'</size><i>@w1 </i><size=175%><color=#00ffff>I</color></size><size=175%>nformation </size><i>@w1 </i><size=175%><color=#00ffff>G</color></size><size=175%>alactique</size><i>@w2</i> \n<i>.. où les dernières nouvelles sont toujours fraîches! @w2</i> \n\nFaites votre choix dans le menu ci-dessous,,,,,,"Добро пожаловать, {PlayerName}! Вы вошли в систему..<i>@w2</i>\n<size=175%><color=#00ffff>Г</color>алактической </size><i>@w1 </i><size=175%><color=#00ffff>И</color></size><size=175%>нформационной </size><i>@w1 </i><size=175%><color=#00ffff>С</color></size><size=175%>ети </size><i>@w2</i>\n<i>..где последние новости никогда не устареют! @w2</i>\n\nПожалуйста, сделайте выбор из меню ниже",ようこそ {PlayerName}! <i>@w2</i>\n<size=175%><color=#00ffff>G</color>alactic </size><i>@w1 </i><size=175%><color=#00ffff>I</color></size><size=175%>nformation </size><i>@w1 </i><size=175%><color=#00ffff>N</color></size><size=175%>etwork </size>@w1 に、@w1 ログインしました..<i>@w2</i>\n<i>..いつも最新のニュースをご提供！ @w2</i>\n\n以下のメニューから選択してください。,,,,,,,Chào mừng {PlayerName}! Bạn đã đăng nhập vào ..<i>@w2</i>\n<size=175%><color=#00ffff>G</color>alactic </size><i>@w1 </i><size=175%><color=#00ffff>I</color></size><size=175%>nformation </size><i>@w1 </i><size=175%><color=#00ffff>N</color></size><size=175%>etwork </size> Mạng lưới Thông tin Thiên Hà<i>@w2</i>\n<i>.. nơi tin tức mới nhất không bao giờ cũ! @w2 </i>\n\nVui lòng chọn từ menu bên dưới
dialogue_GSKKi,GIN Store,GIN Lager,Nouvelles du réseau,,,,,,Новости сети,GIN ストア,,,,,,,Cửa hàng GIN
dialogue_e09q8,Contact an Ambassador,Einen Botschafter kontaktieren,Contacter un Ambassadeur,Contatta un Ambasciatore,,,,,Связаться с послом,大使に連絡する,,,,,,,Liên hệ với Đại sứ
dialogue_SCumO,Log out,Abmelden,Déconnecter,Disconnetti,,,,,Отключиться,ログアウト,,,,,,,Đăng xuất
dialogue_3amq8,Welcome to the News Portal of the\n<size=175%><color=#00ffff>G</color>alactic <color=#00ffff>I</color>nformation <color=#00ffff>N</color>etwork @w2</size>\n\nPlease choose a CATEGORY from below.,Willkommen im Nachrichtenportal des\n<size=175%><color=#00ffff>G</color>alaktischen <color=#00ffff>I</color>nformations <color=#00ffff>N</color>etzwerk @w2</size>\n\nBitte wähle eine der unten stehenden Kathegorien.,Bienvenue sur le portail d'actualités du \n<size=175%><color=#00ffff>R</color>éseau d'<color=#00ffff>I</color>nformation<color=#00ffff>G</color>alactique @w2</size> \n\nChoisissez une Catégorie ci-dessous.,,,,,,"Добро пожаловать на Портал новостей\n<size=175%><color=#00ffff>Г</color>алактической <color=#00ffff>И</color>нформационной <color=#00ffff>С</color>ети @w2</size>\n\nПожалуйста, выберите КАТЕГОРИЮ ниже.",ようこそ\n<size=175%><color=#00ffff>G</color>alactic <color=#00ffff>I</color>nformation <color=#00ffff>N</color>etwork @w2</size>\nのニュースポータルへ。\n\n以下のカテゴリーから選択してください。,,,,,,,Chào mừng bạn đến với Cổng tin tức của \n<size=175%><color=#00ffff>G</color>alactic <color=#00ffff>I</color>nformation <color=#00ffff>N</color>etwork @w2</size> - Mạng lưới thông tin Thiên Hà\n\n Vui lòng chọn chọn một DANH MỤC từ bên dưới.
dialogue_SGuWW,Latest News,Neueste Nachrichten,Dernières nouvelles,,,,,,Последние новости,最新のニュース,,,,,,,Tin mới nhất
dialogue_qqYGC,Back to Category Overview,Zurück zur Kathegorienübersicht,Retour choix Catégorie,Torna alla Panoramica delle Categorie,,,,,Вернуться в просмотр категорий,カテゴリーの概要に戻る,,,,,,,Quay lại Tổng quan về Danh mục
dialogue_BmiSu,Next,Nächste,Suivant,Seguente,,,,,Дальше,次,,,,,,,Kế tiếp
dialogue_ammm5,Back to Main Menu,Zurück zum Hauptmenü,Retour Menu principal,Torna al Menu Principale,,,,,Вернуться в главное меню,メインメニューに戻る,,,,,,,Trở lại menu chính
dialogue_ieGoa,"<color=#00ffff><u>Strange incident observed in Ellyon system @w2</u></color>\nA farmer of the local Talon tribe reported to our newsagent Ellias, that while he was drying his clothes not far from the <i>[translation not possible]</i> site, a bright blue light flashed the sky. A few minutes later, a metal object crashed into the ground near an ancient dumping site. As the eyewitness told us, he found no traces of an object when he approached the site some hours later. Officials from both the Zirax Empire and the local Polaris Megacorp denied any knowledge of this event. @w2 <i>Stay tuned! We'll investigate further!</i>","<color=#00ffff><u>Kurioser Vorfall im Ellyon-System @w2</u></color>\nEin Bauer des örtlichen Talon-Stammes berichtete unserem Nachrichtensprecher Ellias, dass, während er unweit des <i>[Übersetzung nicht möglich]</i>Geländes seine Wäsche trocknete, ein helles blaues Licht am Himmel aufblitzte. Wenige Minuten später stürzte ein Metallobjekt in der Nähe einer alten Müllkippe auf den Boden. Wie der Augenzeuge berichtete, fand er keine Spuren eines Objekts, als er sich dem Ort einige Stunden später näherte. Offizielle Stellen sowohl des Zirax-Imperiums als auch des örtlichen Polaris Megakonzerns leugneten jegliche Kenntnis von diesem Ereignis. @w2 <i>Bleiben Sie dran! Wir werden weiter recherchieren!</i>","<color=#00ffff><u>Étrange incident observé dans le système Ellyon @w2</u></color>\nUn fermier de la tribu locale Talon a rapporté à notre nouvel agent Ellias, que pendant qu'il séchait ses vêtements non loin du <i>[traduction impossible]</i> site, une lumière bleue aveuglante a soudain illuminé le ciel. Quelques minutes plus tard, un objet métallique s'est écrasé au sol près d'un ancien dépotoir. Comme le témoin nous l'a dit, il n'a trouvé aucune trace d'objet lorsqu'il s'est approché du site quelques heures plus tard. Les responsables de l'Empire Zirax et du Polaris Megacorp local ont nié avoir eu connaissance de cet événement. @w2 <i>Restez à l'écoute! Nous continuons nos investigations!</i>",,,,,,"<color=#00ffff><u>Странный инцидент, наблюдаемый в системе Ellyon @w2</u></color>\nФермер из местного племени Талон сообщил нашему газетному репортеру Эллиасу, что, пока он сушил свою одежду недалеко от места <i>[перевод невозможен]</i>, небо вспыхнуло ярко-синим светом. Через несколько минут металлический предмет врезался в землю возле древней свалки. Как рассказал нам очевидец, он не обнаружил следов объекта, когда подошел к месту через несколько часов. Официальные лица как Империи Зиракс, так и местной Мегакорпорации Полярис отрицают какие-либо сведения об этом событии. @w2 <i>Следите за обновлениями! Мы продолжим расследование!</i>",<color=#00ffff><u>Ellyon星系で観測された奇妙な事件@w2</u></color>\n地元のTalon族の農夫がニュースエージェントのエリアス(Ellias)に報告したところによると、 <i>[ 翻訳不可 ]</i> 現場から遠くない場所で洗濯物を干しているときに、明るい青い光が空を照らしたという。数分後、金属製の物体が古代のゴミ捨て場の近くの地面に衝突しました。目撃者の話によると、数時間後に現場に近づいても、物体の痕跡は見つからなかったという。ジラックス帝国と地元のポラリス・メガコープの関係者は、この出来事について何も知らないと否定した。@w2 <i>乞うご期待！ さらに調査します！</i>,,,,,,,"<color=#00ffff> <u> Một sự cố kỳ lạ được quan sát thấy trong hệ sao Ellyon @w2 </u> </color>\nMột nông dân của bộ lạc Talon địa phương đã báo cáo với người bán báo Ellias của chúng tôi rằng khi anh ta đang phơi quần áo không xa khu vực <i> [không thể dịch] </i>, một luồng sáng xanh lam lóe lên bầu trời. Vài phút sau, một vật thể kim loại rơi xuống đất gần bãi rác cổ. Như người chứng kiến ​​đã nói với chúng tôi, anh ta không tìm thấy dấu vết của một vật thể khi anh ta tiếp cận địa điểm vài giờ sau đó. Các quan chức từ cả Đế chế Zirax và Polaris Megacorp địa phương đều phủ nhận bất kỳ thông tin nào về sự kiện này. @w2 <i> Hãy theo dõi! Chúng tôi sẽ điều tra thêm! </i>"
dialogue_480WK,Next,Nächste,Suivant,,,,,,Дальше,次,,,,,,,Kế tiếp
dialogue_8aqWe,Back to Category Overview,Zurück zur Kathegorienübersicht,Retour choix Catégorie,Torna alla Panoramica delle Categorie,,,,,Вернуться в просмотр категорий,カテゴリーの概要に戻る,,,,,,,Quay lại Tổng quan về Danh mục
dialogue_OGl4g,Back to Main Menu,Zurück zum Hauptmenü,Retour Menu principal,Torna al Menu Principale,,,,,Вернуться в главное меню,メインメニューに戻る,,,,,,,Trở lại menu chính
dialogue_auK8o,Log out,Abmelden,Déconnecter,Disconnetti,,,,,Отключиться,ログアウト,,,,,,,Đăng xuất
dialogue_444GO,Log out,Abmelden,Déconnecter,Disconnetti,,,,,Отключиться,ログアウト,,,,,,,Đăng xuất
